Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Brazil,BRA,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,2835460
Brazil,BRA,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,2840830
Brazil,BRA,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,2835790
Brazil,BRA,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,2795620
Brazil,BRA,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,2756070
Brazil,BRA,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,2753730
Brazil,BRA,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,2734630
Brazil,BRA,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,2735400
Brazil,BRA,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,2735000
Brazil,BRA,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,2716380
Brazil,BRA,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,2727840
Brazil,BRA,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,2724325.9375
Brazil,BRA,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,2721320
Brazil,BRA,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,2684690
Brazil,BRA,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,2658680
Brazil,BRA,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,2634650
Brazil,BRA,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,2614060
Brazil,BRA,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,2607590
Brazil,BRA,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,2601120
Brazil,BRA,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,2595660
Brazil,BRA,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,2590190
Brazil,BRA,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,2584720
Brazil,BRA,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,2514180
Brazil,BRA,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,2494630
Brazil,BRA,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,2467090
Brazil,BRA,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,2449410
Brazil,BRA,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,2416080
Brazil,BRA,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,2394320
