,id,subgroup,sampleSize,population,weight,grade,multiversions,url,created_at,startDate,endDate,pollster,tracking,approve_pct,disapprove_pct,approve_adjusted,disapprove_adjusted
0,77265,All polls,1500,a,0.26232298,B,False,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,2017-01-23,2017-01-20,2017-01-22,Gallup,T,45.0,45.0,45.758978,43.571502
1,77261,All polls,1992,rv,0.6800286,B/C,False,http://static.politico.com/9b/13/82a3baf542ae9018e5b6e1008379/170103-topline-politico-v3-kd.pdf,2017-01-23,2017-01-20,2017-01-22,Morning Consult,,46.0,37.0,45.132344,37.905957
2,77599,All polls,1632,a,0.15348115,B-,False,http://polling.reuters.com/#poll/CP3_2/,2017-03-01,2017-01-20,2017-01-24,Ipsos,T,42.1,45.2,43.125229,43.863094
3,77272,All polls,1190,rv,1.5141716,B+,False,https://poll.qu.edu/national/release-detail?ReleaseID=2415,2017-01-26,2017-01-20,2017-01-25,Quinnipiac University,,36.0,44.0,37.608102,42.795748
4,77257,All polls,1500,a,0.68510105,B,False,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,2017-01-26,2017-01-23,2017-01-25,Gallup,T,46.0,45.0,46.758978,43.571502
5,77266,All polls,2692,a,1.3819236,B,False,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/31rwbl7mh1/econToplines.pdf,2017-01-26,2017-01-23,2017-01-25,YouGov,,41.0,35.0,41.852674,37.092018
6,77249,All polls,1043,rv,1.1162936,B,False,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_12617.pdf,2017-01-25,2017-01-23,2017-01-24,Public Policy Polling,,44.0,44.0,43.515684,44.200651
7,77246,All polls,1500,lv,0.560111069999999,C+,False,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,2017-01-27,2017-01-24,2017-01-26,Rasmussen Reports/Pulse Opinion Research,T,55.0,45.0,49.589808,46.35076
8,77263,All polls,1500,a,0.59012544,B,False,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,2017-01-29,2017-01-26,2017-01-28,Gallup,T,42.0,51.0,42.758978,49.571502
9,77253,All polls,1991,rv,0.56009815,B/C,False,https://www.politico.com/f/?id=00000159-f6e7-da98-a77d-f6f7cba90001,2017-01-29,2017-01-26,2017-01-28,Morning Consult,,49.0,41.0,48.132344,41.905957
10,77594,All polls,1630,a,0.62564339,B-,False,http://polling.reuters.com/#poll/CP3_2/,2017-03-01,2017-01-25,2017-01-29,Ipsos,T,48.2,45.1,49.225229,43.763094
11,77252,All polls,4444,a,0.19705636,D-,False,https://blog.electiontracking.surveymonkey.com/2017/01/31/trump-approval-americans-divided-right-from-the-start/,2017-01-31,2017-01-26,2017-01-30,SurveyMonkey,,48.0,50.0,45.483824,49.139324
12,77262,All polls,1500,lv,0.5026503800000001,C+,False,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,2017-02-01,2017-01-29,2017-01-31,Rasmussen Reports/Pulse Opinion Research,T,53.0,47.0,47.589808,48.35076
13,77280,All polls,1500,a,0.72694599,B,False,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/qg8b1mgh4b/econToplines.pdf,2017-02-01,2017-01-28,2017-01-31,YouGov,,43.0,44.0,43.852674,46.092018
